id,author,title,dynasty,genre,lines,line_char_counts,meter_pattern,total_lines,total_chars,is_regular,regular_meter,poem_type
,赵鼎,贺圣朝,宋代,词,花光烛|影春容媚|香生|和气|纷纷儿女拜翁|前劝犀尊金醴|凌烟图画王侯|富贵非翁雅意|愿翁早早乞身|归对青山沈醉,"3,4,2,2,6,6,6,6,6,6","3,4,2,2,6,6,6,6,6,6",10,47,False,,词
,赵鼎,贺圣朝,宋代,词,征鞍南|去天涯路|青山|无数|更堪月下子规|啼向深山深处|凄然推枕难寻|新梦忍听伊言语|更阑人静一声|声道不如归去,"3,4,2,2,6,6,6,7,6,6","3,4,2,2,6,6,6,7,6,6",10,48,False,,词
,赵鼎,醉蓬莱,宋代,词,破新正春到五|叶尧蓂弄芳初秀|翦彩然膏|灿华筵如昼|家庆图中老莱|堂上竟祝翁遐寿|喜气欢容光生|玉斝香霏金兽|谁会高情淡然声利|一笑尘寰万缘何有|解组归来|访渔樵朋友|华发苍颜任从|老去但此情依旧|岁岁年年花前|月下一尊芳酒,"6,7,4,5,6,7,6,6,8,8,4,5,6,7,6,6","6,7,4,5,6,7,6,6,8,8,4,5,6,7,6,6",16,97,False,,词
,赵鼎,小重山,宋代,词,漠漠晴|霓和雨收|长波千万|里拍天流|云帆烟|棹去悠悠|西风里归|兴满沧州|谩道|醉忘忧|荡高怀远|恨更悲秋|一眉山|色为谁愁|黄昏也独|自倚危楼,"3,4,4,4,3,4,4,4,2,3,4,4,3,4,4,4","3,4,4,4,3,4,4,4,2,3,4,4,3,4,4,4",16,58,False,,词
,赵鼎,惜双双・惜分飞,宋代,词,度陇信|音谁与寄|肠断江|南千里|深雪|前村里|一枝昨|夜传芳意|冷蕊暗|香空旖旎|也应是|春来憔悴|风度|将谁比|忆曾插|向香罗,"3,4,3,3,2,3,3,4,3,4,3,4,2,3,3,3","3,4,3,3,2,3,3,4,3,4,3,4,2,3,3,3",16,50,False,,词
,赵鼎,西江月,宋代,词,世态浮云易变|时光飞箭难留|五年重|见海东头|只有交|情似旧|未尽别来深意|难堪老去离愁|青山迢|递水悠悠|明日扁|舟病酒,"6,6,3,4,3,3,6,6,3,4,3,3","6,6,3,4,3,3,6,6,3,4,3,3",12,50,False,,词
,赵鼎,行香子,宋代,词,草色|芊绵|雨点|阑斑|糁飞花|还是春残|天涯万里|海上三年|试倚危楼将|远恨卷帘看|举头见日|不见长安|谩凝眸|老泪凄然|山禽飞去|榕叶生寒|到黄昏也独|自个尚凭阑,"2,2,2,2,3,4,4,4,5,5,4,4,3,4,4,4,5,5","2,2,2,2,3,4,4,4,5,5,4,4,3,4,4,4,5,5",18,66,False,,词
,赵鼎,醉桃园・桃源忆故人,宋代,词,青春不|与花为主|花正开|时春暮|花下醉|眠休诉|看取|春归去|莺愁蝶|怨春知否|欲问春|归何处|只有一|尊芳醑|留得|青春住,"3,4,3,3,3,3,2,3,3,4,3,3,3,3,2,3","3,4,3,3,3,3,2,3,3,4,3,3,3,3,2,3",16,48,False,,词
,赵鼎,浪淘沙,宋代,词,霜露|日凄凉|北雁|南翔|惊风吹|起不成行|吊影苍波何|限恨日暮天长|为尔|惜流光|还是|重阳|故人何|处舣危墙|寄我相思千|点泪直过潇湘,"2,3,2,2,3,4,5,6,2,3,2,2,3,4,5,6","2,3,2,2,3,4,5,6,2,3,2,2,3,4,5,6",16,54,False,,词
,赵鼎,浪淘沙,宋代,词,玉宇|洗秋晴|凉月|亭亭|梦回孤|枕琐窗明|何处飞来三|弄笛风露凄清|曾看|玉纤横|苦爱|新声|由来百|虑为愁生|此夜曲中闻|折柳都是离情,"2,3,2,2,3,4,5,6,2,3,2,2,3,4,5,6","2,3,2,2,3,4,5,6,2,3,2,2,3,4,5,6",16,54,False,,词
