author,paragraphs,title,id,dynasty,genre,tags,notes,rhythmic,prologue,content
德誠,"香餌竿頭也不無，向來祇是釣名魚。
波沃日，浪涵虛，萬象牢籠號有餘。",拨櫂歌 三十二,26213571-4b04-47e0-a740-72ddee580ca9,唐代,诗,,,,,"香饵竿头也不无,向来祇是钓名鱼. 波沃日,浪涵虚,万象牢笼号有余."
李涉,"錦池江上柳垂橋，風引蟬聲送寂寥。
不必如絲千萬縷，只禁離恨兩三條。",柳枝词,9b8f9ff5-ec06-4f60-9980-b116842374ec,唐代,诗,,,,,"锦池江上柳垂桥,风引蝉声送寂寥. 不必如丝千万缕,只禁离恨两三条."
何仲舉,"似玉來投獄，拋家去就枷。
可憐兩片木，夾却一枝花。",李臯试诗,f71050f4-0261-41bc-881e-1935a37ebb01,唐代,诗,,,,,"似玉来投狱,抛家去就枷. 可怜两片木,夹却一枝花."
劉商,"行盡胡天千萬里，惟見黃沙白雲起。
馬飢跑雪銜草根，人渴敲冰飲流水。
燕山髣髴辨烽戍，鼙鼓如聞漢家壘。
努力前程是帝鄉，生前免向胡中死。",琴曲歌辞 胡笳十八拍 第十七拍,c02906d2-c9d0-4319-8996-95902b618962,唐代,诗,,,,,"行尽胡天千万里,惟见黄沙白云起. 马饥跑雪衔草根,人渴敲冰饮流水. 燕山髣髴辨烽戍,鼙鼓如闻汉家垒. 努力前程是帝乡,生前免向胡中死."
貫休,"下營依遁甲，分帥把河隍。
地使人心惡，風吹旗燄荒。
搜山得探卒，放火獵黃羊。
唯有南飛雁，聲聲斷客腸。",古塞下曲七首 一,7e385d41-7a71-4829-905d-bd7f1e806c99,唐代,诗,,,,,"下营依遁甲,分帅把河隍. 地使人心恶,风吹旗燄荒. 搜山得探卒,放火猎黄羊. 唯有南飞雁,声声断客肠."
李遠,"西陵樹已盡，銅雀思偏多。
雪密疑樓閣，花開想綺羅。
影銷堂上舞，聲斷帳前歌。
唯有漳河水，年年舊綠波。",悲铜雀台,165060cb-4603-4748-809d-aaa12fe3550e,唐代,诗,,,,,"西陵树已尽,铜雀思偏多. 雪密疑楼阁,花开想绮罗. 影销堂上舞,声断帐前歌. 唯有漳河水,年年旧绿波."
貫休,"河北江東處處災，唯聞全蜀勿塵埃。
一缾一鉢垂垂老，千水千山得得來。
奈菀幽棲多勝景，巴歈陳貢媿非才。
自慙林藪龍鍾者，亦得親登郭隗臺。",陈情献蜀皇帝,1e4bb2c4-aa18-4a7e-8600-f459d9933dcf,唐代,诗,,,,,"河北江东处处灾,唯闻全蜀勿尘埃. 一缾一钵垂垂老,千水千山得得来. 奈菀幽栖多胜景,巴歈陈贡媿非才. 自慙林薮龙钟者,亦得亲登郭隗台."
盧僎,"賦生期獨得，素業守微班。
外忝文學知，鴻漸鵷鷺間。
內傾水木趣，築室依近山。
晨趨天日[晏]，夕臥江海閑。
松風生坐隅，仙禽舞亭灣。
曙雲林下客，霽月池上顏。
雖曰坐郊園，靜默非人寰。
時步蒼龍闕，寧異白雲關。
語濟豈時顧，默善忘世攀。
世網余何觸，天涯謫南蠻。
回首思洛陽，喟然悲貞艱。",初出京邑有怀旧林,9079b311-c980-4a27-9232-317b8ac1804d,唐代,诗,,,,,"赋生期独得,素业守微班. 外忝文学知,鸿渐鹓鹭间. 内倾水木趣,筑室依近山. 晨趋天日[晏],夕卧江海闲. 松风生坐隅,仙禽舞亭湾. 曙云林下客,霁月池上颜. 虽曰坐郊园,静默非人寰. 时步苍龙阙,宁异白云关. 语济岂时顾,默善忘世攀. 世网余何触,天涯谪南蛮. 回首思洛阳,喟然悲贞艰."
蘇頲,"御道紅旗出，芳園翠輦遊。
繞花開水殿，架竹起山樓。
荷芰輕薰幄，魚龍出負舟。
寧知穆天子，空賦白雲秋。",春日芙蓉园侍宴应制,61479e50-d043-4087-9210-ba372edd74e0,唐代,诗,,,,,"御道红旗出,芳园翠辇游. 绕花开水殿,架竹起山楼. 荷芰轻薰幄,鱼龙出负舟. 宁知穆天子,空赋白云秋."
陸龜蒙,"手盤風，頭背分，電光戰扇，欲刺敲心留半綫。
纏肩繞脰，𧞔合眩旋。
卓植赴列，奪避中節。
前衝函禮穴，上指孛彗滅，與君一用來有截。",舞曲歌辞 吴俞儿舞歌 矛俞,29d4e6ab-d0d6-4848-8457-3eeae711bfec,唐代,诗,,,,,"手盘风,头背分,电光战扇,欲刺敲心留半线. 缠肩绕脰,𧞔合眩旋. 卓植赴列,夺避中节. 前冲函礼穴,上指孛彗灭,与君一用来有截."
皮日休,"松陵清淨雪消初，見底新安恐未如。
穩凭船舷無一事，分明數得鱠殘魚。",松江早春,1e01d799-ea31-44b9-beda-39f919271104,唐代,诗,,,,,"松陵清净雪消初,见底新安恐未如. 稳凭船舷无一事,分明数得鲙残鱼."
皎然,"越人遺我剡溪茗，採得金牙爨金鼎。
素瓷雪色縹沫香，何似諸仙瓊蘂漿。
一飲滌昏寐，情來朗爽滿天地。
再飲清我神，忽如飛雨灑輕塵。
三飲便得道，何須苦心破煩惱。
此物清高世莫知，世人飲酒多自欺。
愁看畢卓甕間夜，笑向陶潛籬下時。
崔侯啜之意不已，狂歌一曲驚人耳。
孰知茶道全爾真，唯有丹丘得如此。",饮茶歌诮崔石使君,41fca742-a88c-4a20-8dfe-a48d2d6f7d43,唐代,诗,,,,,"越人遗我剡溪茗,采得金牙爨金鼎. 素瓷雪色缥沫香,何似诸仙琼蘂浆. 一饮涤昏寐,情来朗爽满天地. 再饮清我神,忽如飞雨洒轻尘. 三饮便得道,何须苦心破烦恼. 此物清高世莫知,世人饮酒多自欺. 愁看毕卓瓮间夜,笑向陶潜篱下时. 崔侯啜之意不已,狂歌一曲惊人耳. 孰知茶道全尔真,唯有丹丘得如此."
師備,"奇哉一靈叟，那頓許吺吺（音兜）。
風起引箜篌，迷子爭頭湊。
設使緫不是，蝦蟆張大口。
開口不開口，終是犯靈叟。
欲識箇中意，南星真北斗。",颂 二,6f4c6712-cee1-4e61-81fb-3115a2b55585,唐代,诗,,,,,"奇哉一灵叟,那顿许吺吺(音兜). 风起引箜篌,迷子争头凑. 设使緫不是,虾蟆张大口. 开口不开口,终是犯灵叟. 欲识个中意,南星真北斗."
李商隱,"虎踞龍蹲縱復橫，星光漸減雨痕生。
不須併礙東西路，哭殺廚頭阮步兵。",乱石,245493d5-ed57-489e-aa36-45d6947f3cab,唐代,诗,,,,,"虎踞龙蹲纵复横,星光渐减雨痕生. 不须并碍东西路,哭杀厨头阮步兵."
漢皓,西風暮雨驚殘夢，應是巫山寄恨來。,句,938c9eac-51b4-47d9-9e44-29bec2d7fa3f,唐代,诗,,,,,"西风暮雨惊残梦,应是巫山寄恨来."
錢起,"晚泊武昌岸，津亭疎柳風。
數株曾手植，好事憶陶公。",江行无题一百首 五十五,2d3a6835-caa8-45c1-9873-0e2a2ad3406f,唐代,诗,,,,,"晚泊武昌岸,津亭疎柳风. 数株曾手植,好事忆陶公."
