id,title,author,dynasty,genre,poem_type,content,lines,line_char_counts,meter_pattern,total_lines,total_chars,is_regular,meter_category
5b9a1c52367d5c0f40d2485e,寄龚十三,朱槔,宋代,诗,杂言,"支颐独揖北窗风，怪事从今咄咄空。
简策不知春色晚，山川浑落战尘中。
花瓢茵席三生净，草入池塘一句工。
想见楚龚怀我处，扁舟遨荡夕阳红。","['支颐独揖北窗风怪事从今咄咄空', '简策不知春色晚山川浑落战尘中', '花瓢茵席三生净草入池塘一句工', '想见楚龚怀我处扁舟遨荡夕阳红']","[14, 14, 14, 14]","14,14,14,14",4,56,False,
5b9a185c367d5c0f40d22dc9,江城子·孤山竹阁送述古,苏轼,宋代,诗,杂言,"翠蛾羞黛怯人看。掩霜纨，泪偷弹。且尽一尊，收泪唱《阳关》。漫道帝城天样远，天易见，见君难。
画堂新构近孤山。曲栏干，为谁安？飞絮落花，春色属明年。欲棹小舟寻旧事，无处问，水连天。","['翠蛾羞黛怯人看掩霜纨泪偷弹且尽一尊收泪唱阳关漫道帝城天样远天易见见君难', '画堂新构近孤山曲栏干为谁安飞絮落花春色属明年欲棹小舟寻旧事无处问水连天']","[35, 35]","35,35",2,70,False,
5b9a18b7367d5c0f40d23025,游赤松观,范浚,宋代,诗,杂言,"灵祠丹井馀真迹，祠下老松森百尺。仙子骑鲸去不归，痴人犹问山中石。

",['灵祠丹井馀真迹祠下老松森百尺仙子骑鲸去不归痴人犹问山中石'],[28],28,1,28,False,
5b9a19c5367d5c0f40d2373e,水调歌头 赠白兰谷,李道纯,元代,诗,杂言,三元秘秋水，微密实难量。米分清浊，天地人物一包藏。一乃太玄真水，二气由兹运化，三极理全彰。上下降升妙，根本在中黄。兔怀胎，牛喘月，蚌含光。人明此理，倒提斗柄戽银潢。绝断曹溪一派，掀倒蓬莱三岛，无处不仙乡。谁为白兰谷，安寝感羲皇。,['三元秘秋水微密实难量米分清浊天地人物一包藏一乃太玄真水二气由兹运化三极理全彰上下降升妙根本在中黄兔怀胎牛喘月蚌含光人明此理倒提斗柄戽银潢绝断曹溪一派掀倒蓬莱三岛无处不仙乡谁为白兰谷安寝感羲皇'],[95],95,1,95,False,
5b9a1b6c367d5c0f40d2425c,洞霄琳宫,连久道,宋代,诗,杂言,"栖真已得寻西洞，神应谁能辨雨锺。
水奏五音鸣玉凤，山回九锁踞苍龙。
古杉疑复天台去，怪石时从福地供。
它日重游应更好，拟登天柱最高峰。","['栖真已得寻西洞神应谁能辨雨锺', '水奏五音鸣玉凤山回九锁踞苍龙', '古杉疑复天台去怪石时从福地供', '它日重游应更好拟登天柱最高峰']","[14, 14, 14, 14]","14,14,14,14",4,56,False,
5b9a149b367d5cab186688ce,客中初夏,司马光,宋代,诗,杂言,"四月清和雨乍晴，南山当户转分明。
更无柳絮因风起，惟有葵花向日倾。","['四月清和雨乍晴南山当户转分明', '更无柳絮因风起惟有葵花向日倾']","[14, 14]","14,14",2,28,False,
5b9a1468367d5cab1866877c,涉江采芙蓉,佚名,两汉,诗,杂言,"涉江采芙蓉，兰泽多芳草。
采之欲遗谁，所思在远道。
还顾望旧乡，长路漫浩浩。
同心而离居，忧伤以终老。

","['涉江采芙蓉兰泽多芳草', '采之欲遗谁所思在远道', '还顾望旧乡长路漫浩浩', '同心而离居忧伤以终老']","[10, 10, 10, 10]","10,10,10,10",4,40,False,
5b9a1950367d5c0f40d2342c,舟次邗江感怀,戴研,清代,诗,杂言,"寒云萧瑟片帆收，江草江花动客愁。瓜步涛声常带雨，广陵山色易为秋。

已拚湖海供多病，漫逐风尘故倦游。寂寞仲宣怀故里，不胜摇落赋《登楼》。

","['寒云萧瑟片帆收江草江花动客愁瓜步涛声常带雨广陵山色易为秋', '已拚湖海供多病漫逐风尘故倦游寂寞仲宣怀故里不胜摇落赋登楼']","[28, 28]","28,28",2,56,False,
5b9a1974367d5c0f40d23521,赠朱静芳大姐,聂绀弩,近代,诗,杂言,"急人之急女朱家，两度汾河走飞车。刀笔纵横光闪闪，化杨枝水洒枯花。

劝君更尽一杯茶，千里万里亦中华。

","['急人之急女朱家两度汾河走飞车刀笔纵横光闪闪化杨枝水洒枯花', '劝君更尽一杯茶千里万里亦中华']","[28, 14]","28,14",2,42,False,
5b9a1c79367d5c0f40d24961,蔡村,张鸿,近代,诗,杂言,"炎风烈日屈足坐，冷雨凄烟缩项眠。持校帝城流血夜，此中犹是燄摩天。

",['炎风烈日屈足坐冷雨凄烟缩项眠持校帝城流血夜此中犹是燄摩天'],[28],28,1,28,False,
