id,title,author,dynasty,genre,poem_type,sentences_simplified,meter_pattern,hash,words
aa9b7de0-a697-4f5b-b2f9-bac84361a46d,奉和圣制中元日题奉敬寺,崔元翰,唐,诗,五言古体,妙道非本说 殊途成异名 圣人得其要 俱以化群生 凤吹从上苑 龙宫连外城 花鬘列后殿 云车驻前庭 松竹含新秋 轩窗有余清 缅怀崆峒事 须继箫管声 离相境都寂 忘言理更精 域中信称大 天下乃为轻 屈己由济物 尧心岂所荣,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",78456304fe788efecb013a30e9482eef,妙 道 非本 说 殊途 成 异名 圣人 得 其 要 俱 以 化 群生 凤吹 从 上苑 龙宫 连外 城 花 鬘 列 后 殿 云车 驻 前庭 松竹 含新秋 轩 窗 有余 清 缅怀 崆峒 事 须继 箫管 声 离 相境 都 寂 忘言 理 更 精 域 中信 称 大 天下 乃为 轻 屈己 由济物 尧 心 岂 所荣
2d73b38a-6d38-4bcb-98fc-8454a61de134,奉和登玄武楼观射即事书怀赐孟涉应制,崔元翰,唐,诗,五言古体,宁岁常有备 殊方靡不宾 禁营列武卫 帝座彰威神 讲事一临幸 加恩徧抚巡 城高凤楼耸 塲逈兽侯新 饮羽连百中 控弦逾六钧 拣材尽爪士 受任皆信臣 光赏文藻丽 便繁心膂亲 复如观太清 昭烂垂芳辰,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",5b9a428a6c4317abe9a34c17cadd1e0f,宁 岁 常有 备 殊方 靡不 宾 禁营列 武卫 帝座 彰威 神 讲事 一 临幸 加 恩 徧 抚 巡 城 高凤楼 耸 塲 逈 兽 侯 新 饮羽 连百中 控 弦逾六钧 拣 材 尽 爪士 受任 皆 信臣 光赏 文 藻丽 便 繁心 膂亲 复如观 太 清 昭 烂 垂 芳辰
6a7c53b1-7214-4fb5-8b94-ba0ded548abb,清明节郭侍御偶与李侍御孔校书王秀才游开化寺卧病不得同游赋得十韵兼呈马十八郎丞公,崔元翰,唐,诗,五言古体,山色入层城 钟声临复岫 乘闲息边事 探异怜春候 曲阁下重阶 回廊遥对霤 石间花徧落 草上云时覆 钻火见樵人 饮泉逢野兽 道情亲法侣 时望登朝右 执宪𫄙奸邪 刊书正讹谬 茂才当时选 公子生人秀 赠荅继篇章 欢娱重朋旧 垂帘独衰疾 击缶酬金奏,"5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5",35b058f7d845d551f75dc8c274cac66b,山色 入 层 城 钟声 临复 岫 乘 闲息 边事 探异怜 春候 曲 阁下 重阶 回廊 遥 对 霤 石间 花 徧 落 草 上 云 时 覆 钻火 见 樵人 饮泉 逢 野兽 道情 亲法侣 时望 登 朝右 执宪 𫄙 奸邪 刊书 正 讹谬 茂 才 当时 选 公子 生人 秀 赠 荅 继 篇章 欢娱 重 朋旧 垂帘 独衰 疾 击缶 酬金 奏
1cac20d0-4eb1-4b7b-a829-ff529c939a1c,杂言奉和圣制至承光院见自生藤感其得地因以成咏应制,崔元翰,唐,诗,杂言,新藤正可玩 得地又逢时 罗生密叶交绿蔓 欲布清阴垂紫蕤 已带朝光暖 犹含轻露滋 遥依千华殿 稍上万年枝 余芳连桂树 积润傍莲池 岂如幽谷无人见 空覆荒榛杂兔丝 圣心对此应有感 隐迹如斯谁复知 怀贤劳永叹 比物赋新诗 聘丘园 访茅茨 为谢中林士 王道本无私,"5,5,7,7,5,5,5,5,5,5,7,7,7,7,5,5,3,3,5,5",c6897190a3f6ddbfc75278609493e014,新 藤 正 可 玩 得地 又 逢时 罗生 密叶 交绿蔓 欲 布清阴 垂 紫 蕤 已 带 朝光 暖 犹含 轻露 滋 遥依千华殿 稍上 万年 枝 余芳 连 桂树 积润 傍 莲池 岂 如 幽谷 无人 见 空 覆荒 榛杂兔 丝 圣心 对此 应有 感 隐迹 如斯 谁 复知 怀 贤劳 永叹 比物 赋 新诗 聘 丘园 访 茅茨 为 谢中林 士 王道 本 无私
06bcd5bc-f822-48b9-9204-08e3eff83f4d,雨中对后簷丛竹,崔元翰,唐,诗,五言绝句,含风摇砚水 带雨拂墙衣 乍似秋江上 渔家半掩扉,"5,5,5,5",7a68b0521350d4302827ece7e5031024,含风 摇 砚 水 带 雨 拂 墙 衣 乍 似 秋 江上 渔家 半 掩扉
1a253649-bc67-4efb-b7a9-6486a4cf591c,赋得沈珠于泉,独孤良器,唐,诗,五言古体,皎洁沈泉水 荧煌照乘珠 沈非将宝契 还与不贪符 风折璇成浪 空涵影似浮 深看星幷入 静向月同无 光价怜时重 亡情信道枢 不应无胫至 自为暗投殊,"5,5,5,5,5,5,5,5,5,5,5,5",8957d81d26ad0557320f7f3845053951,皎洁 沈 泉水 荧煌照 乘珠 沈非 将 宝契 还 与 不 贪 符 风折 璇 成 浪 空涵影 似 浮 深 看 星 幷 入 静 向 月 同 无 光价 怜 时 重 亡情 信道 枢 不应无胫至 自为 暗 投殊
824960be-7ecd-4bfd-902d-689a3a9d39b3,雪席口占,高崇文,唐,诗,七言绝句,崇文宗武不崇文 提戈出塞号将军 那个𩩉儿射雁落 白毛空里乱纷纷,"7,7,7,7",81da09c6233dbe6789b8b073c91db056,崇文 宗武 不 崇文 提戈 出塞 号 将军 那个 𩩉 儿射雁 落 白毛 空里 乱纷纷
4b43cff2-ab22-4a9b-b8e3-d6dd4b4dde1b,雪席口占,高崇文,唐,诗,七言绝句,崇文崇武不崇文 提戈出塞旧从军 有似蕃儿射雁落 白毛空里乱纷纷,"7,7,7,7",0b11e82d647cf17a0b0fa459cb2e55ff,崇文 崇武 不 崇文 提戈 出塞 旧 从军 有似 蕃儿 射雁 落 白毛 空里 乱纷纷
2eec7b9f-8420-4c2d-9dfe-cfaec4d6622a,行县至浮查山寺,罗珦,唐,诗,七言律诗,三十年前此布衣 鹿鸣西上虎符归 行时宾从过前寺 到处松杉长旧围 野老竞遮官道拜 沙鸥遥避隼旟飞 春风一宿琉璃地 自有泉声惬素机,"7,7,7,7,7,7,7,7",2d248a4b73691ed8bbf32663e005f4c6,三十年 前 此 布衣 鹿鸣 西上 虎符 归 行时 宾从 过前 寺 到处 松杉 长旧 围 野老 竞 遮 官道 拜 沙鸥 遥避 隼 旟 飞 春风 一 宿 琉璃 地 自有 泉声 惬素 机
cb531005-605f-4a66-8fbd-9512f14e03cf,赋四相诗 中书令汉阳王张柬之,皇甫澈,唐,诗,五言古体,周历革元命 天步值艰阻 烈烈张汉阳 左袒清诸武 休明神器正 文物旧仪覩 南向翊大君 西宫朝圣母 茂勋镂钟鼎 鸿劳食茅土 至今称五王 卓立迈万古,"5,5,5,5,5,5,5,5,5,5,5,5",0228b93b49d4dc32c022e7b64d7c86a5,周历 革元命 天步值艰 阻 烈烈 张 汉阳 左袒 清诸武 休明 神器 正 文物 旧 仪 覩 南向 翊 大君 西宫 朝 圣母 茂勋 镂 钟鼎 鸿 劳食 茅土 至今 称 五王 卓立迈 万古
